Frame, Time (ms)
 1192, 12964.423
 1193, 12973.042
 1194, 12981.069
 1195, 12990.368
 1196, 12997.892
 1197, 13007.104
 1198, 13014.472
 1199, 13022.525
 1200, 13030.856
 1201, 13039.121
 1202, 13046.376
 1203, 13055.097
 1204, 13062.346
 1205, 13072.566
 1206, 13079.901
 1207, 13088.159
 1208, 13096.108
 1209, 13105.338
 1210, 13112.288
 1211, 13120.598
 1212, 13128.452
 1213, 13138.101
 1214, 13145.177
 1215, 13153.174
 1216, 13160.485
 1217, 13168.678
 1218, 13176.284
 1219, 13185.689
 1220, 13193.138
 1221, 13204.428
 1222, 13212.040
 1223, 13220.381
 1224, 13227.401
 1225, 13236.625
 1226, 13244.196
 1227, 13252.718
 1228, 13259.998
 1229, 13270.238
 1230, 13277.189
 1231, 13286.103
 1232, 13293.819
 1233, 13303.435
 1234, 13310.887
 1235, 13319.913
 1236, 13328.195
 1237, 13338.772
 1238, 13346.028
 1239, 13354.482
 1240, 13361.798
 1241, 13370.815
 1242, 13378.361
 1243, 13388.222
 1244, 13396.368
 1245, 13409.006
 1246, 13421.323
 1247, 13429.901
 1248, 13439.222
 1249, 13448.610
 1250, 13457.267
 1251, 13464.424
 1252, 13474.467
 1253, 13484.599
 1254, 13493.082
 1255, 13504.256
 1256, 13512.411
 1257, 13520.815
 1258, 13530.005
 1259, 13544.361
 1260, 13553.592
 1261, 13562.139
 1262, 13571.019
 1263, 13579.399
 1264, 13594.020
 1265, 13604.905
 1266, 13612.539
 1267, 13621.746
 1268, 13632.408
 1269, 13643.817
 1270, 13653.311
 1271, 13662.325
 1272, 13673.612
 1273, 13681.285
 1274, 13695.478
 1275, 13705.400
 1276, 13713.134
 1277, 13723.441
 1278, 13735.418
 1279, 13746.328
 1280, 13757.306
 1281, 13766.301
 1282, 13775.905
 1283, 13785.830
 1284, 13800.991
 1285, 13808.541
 1286, 13818.451
 1287, 13827.735
 1288, 13842.567
 1289, 13851.335
 1290, 13860.177
 1291, 13872.438
 1292, 13879.778
 1293, 13893.568
 1294, 13904.690
 1295, 13912.299
 1296, 13922.432
 1297, 13931.772
 1298, 13946.866
 1299, 13956.468
 1300, 13964.758
 1301, 13975.300
 1302, 13985.178
 1303, 13998.208
 1304, 14012.004
 1305, 14020.312
 1306, 14027.777
 1307, 14041.092
 1308, 14050.616
 1309, 14060.375
 1310, 14071.206
 1311, 14079.501
 1312, 14093.361
 1313, 14105.103
 1314, 14116.455
 1315, 14125.736
 1316, 14137.267
 1317, 14149.503
 1318, 14160.168
 1319, 14173.457
 1320, 14186.502
 1321, 14201.433
 1322, 14213.172
 1323, 14224.191
 1324, 14238.520
 1325, 14253.696
 1326, 14263.718
 1327, 14277.617
 1328, 14287.442
 1329, 14303.873
 1330, 14315.446
 1331, 14327.438
 1332, 14340.208
 1333, 14356.573
 1334, 14368.236
 1335, 14380.071
 1336, 14391.894
 1337, 14409.610
 1338, 14420.780
 1339, 14431.510
 1340, 14444.862
 1341, 14460.733
 1342, 14473.783
 1343, 14482.978
 1344, 14495.899
 1345, 14510.832
 1346, 14522.741
 1347, 14537.537
 1348, 14548.786
 1349, 14564.111
 1350, 14576.621
 1351, 14587.357
 1352, 14604.494
 1353, 14615.786
 1354, 14628.839
 1355, 14640.661
 1356, 14655.815
 1357, 14669.510
 1358, 14680.336
 1359, 14692.740
 1360, 14710.584
 1361, 14721.860
 1362, 14733.111
 1363, 14744.682
 1364, 14761.226
 1365, 14773.171
 1366, 14785.539
 1367, 14799.093
 1368, 14815.310
 1369, 14827.699
 1370, 14840.701
 1371, 14855.013
 1372, 14868.497
 1373, 14878.515
 1374, 14890.778
 1375, 14908.360
 1376, 14919.852
 1377, 14932.229
 1378, 14945.953
 1379, 14962.333
 1380, 14973.648
 1381, 14985.709
 1382, 14999.863
 1383, 15015.054
 1384, 15025.632
 1385, 15038.778
 1386, 15053.881
 1387, 15068.987
 1388, 15078.561
 1389, 15092.086
 1390, 15108.310
 1391, 15118.790
 1392, 15131.211
 1393, 15146.134
 1394, 15160.540
 1395, 15173.229
 1396, 15184.902
 1397, 15197.062
 1398, 15215.646
 1399, 15225.997
 1400, 15237.586
 1401, 15254.032
 1402, 15267.093
 1403, 15278.230
 1404, 15290.223
 1405, 15306.961
 1406, 15319.095
 1407, 15331.150
 1408, 15346.932
 1409, 15359.918
 1410, 15373.120
 1411, 15385.426
 1412, 15397.817
 1413, 15414.485
 1414, 15425.882
 1415, 15437.306
 1416, 15454.979
 1417, 15467.135
 1418, 15478.496
 1419, 15491.545
 1420, 15507.583
 1421, 15519.851
 1422, 15530.819
 1423, 15547.144
 1424, 15561.883
 1425, 15574.490
 1426, 15587.611
 1427, 15599.154
 1428, 15616.128
 1429, 15628.590
 1430, 15646.875
 1431, 15657.346
 1432, 15669.201
 1433, 15681.382
 1434, 15693.171
 1435, 15710.570
 1436, 15723.815
 1437, 15736.020
 1438, 15747.253
 1439, 15764.819
 1440, 15777.443
 1441, 15792.070
 1442, 15808.258
 1443, 15818.710
 1444, 15832.782
 1445, 15845.805
 1446, 15860.987
 1447, 15877.480
 1448, 15887.645
 1449, 15901.813
 1450, 15916.389
 1451, 15929.493
 1452, 15944.446
 1453, 15960.312
 1454, 15973.266
 1455, 15984.377
 1456, 15997.783
 1457, 16016.025
 1458, 16028.576
 1459, 16040.829
 1460, 16057.590
 1461, 16070.558
 1462, 16084.068
 1463, 16095.665
 1464, 16113.619
 1465, 16126.298
 1466, 16143.581
 1467, 16155.517
 1468, 16168.675
 1469, 16181.355
 1470, 16194.526
 1471, 16214.176
 1472, 16225.788
 1473, 16237.126
 1474, 16250.743
 1475, 16269.563
 1476, 16282.015
 1477, 16294.568
 1478, 16310.631
 1479, 16325.132
 1480, 16339.637
 1481, 16352.648
 1482, 16368.621
 1483, 16380.903
 1484, 16393.949
 1485, 16413.667
 1486, 16425.205
 1487, 16439.119
 1488, 16451.224
 1489, 16469.312
 1490, 16480.422
 1491, 16493.950
 1492, 16513.054
 1493, 16525.241
 1494, 16541.771
 1495, 16551.395
 1496, 16570.688
 1497, 16582.914
 1498, 16596.963
 1499, 16615.114
 1500, 16626.955
 1501, 16640.576
 1502, 16657.901
 1503, 16673.904
 1504, 16685.507
 1505, 16699.693
